Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
113516-9,Igala,-6.87159,39.23482,,Dar es Salaam Region,Temeke District,Temeke MC,Yombo Vituka,Yombo vituka,Level IA2 (Dispensary Laboratory),,Private,,2.55756E+11,
113462-6,Igala Ilala,,,,Dar es Salaam Region,Ilala District,Ilala MC,Kinyerezi,Kifuru,Level IA2 (Dispensary Laboratory),,Private,02-06-19,,
112351-2,Igalagalilo,-2.53828,32.75431,Igalagalilo,Mwanza Region,Sengerema District,Sengerema DC,Katunguru,Chambanda,Dispensary,,Public,08-01-18,282590162,
101517-1,Igalamu,-9.333849000000001,33.607606,Igalamu,Mbeya Region,Rungwe District,Rungwe DC,Malindo,Igalamu,Dispensary,,Public,,,2
101518-9,Igale,-9.026653,33.140008,Igale Dispensary,Songwe Region,Mbozi District,Mbozi DC,Iyula,Igale,Dispensary,,Public,05-01-08,,1
109442-4,Igale,-9.026906,33.432244,Igale,Mbeya Region,Mbeya District,Mbeya DC,Igale,Igale,Dispensary,,Public,01-01-70,,
110211-0,Igalilimi,-3.82874,32.59731,Kwa Kammu,Shinyanga Region,Kahama District,Kahama TC,Kahama Mjini,,Dispensary,,Private,01-01-70,,5
101520-5,Igalilimi,-3.83065,32.60789,Kwa Dr. Shija,Shinyanga Region,Kahama District,Kahama TC,Nyasubi,Nyasubi,Health Center,,Private,07-04-00,"282,710,461",
101521-3,Igalla,-2.05011,32.9442,Igalla,Mwanza Region,Ukerewe District,Ukerewe DC,Igalla,Igalla,Dispensary,,Public,07-01-51,,1
114475-7,Igalu,-10.45453,34.60519,Igalu,Njombe Region,Ludewa District,Ludewa DC,Manda,,Dispensary,,Public,01-01-70,,3
101522-1,Igalukilo,-2.41046,33.7748,Igarukilo H/C,Simiyu Region,Busega District,Busega DC,Igalukilo,Nyangili,Health Center,,Public,01-01-70,,21
115375-8,Igalukwa,-9.147193,33.285438,Igalukwa,Mbeya Region,Mbeya District,Mbeya DC,Itawa,Igalukwa,Dispensary,Foundation,Public,01-01-70,,
101525-4,Igalula,-5.21373,33.0282,Igalula,Tabora Region,Uyui District,Uyui DC,Igalula,Igalula,Dispensary,,Public,,,2
114042-5,Igalula,-5.22352,33.02382,Igalula,Tabora Region,Uyui District,Uyui DC,Igalula,Igalula,Health Center,Foundation,Public,,,
101523-9,Igalula,-5.64452,32.6132,Igalula,Tabora Region,Sikonge District,Sikonge DC,Sikonge,Igalula,Dispensary,,Public,10-08-11,,2
101524-7,Igalula,-5.94932,29.89469,Igalula,Kigoma Region,Uvinza District,Uvinza DC,Igalula,,Dispensary,,Public,12-08-81,757621477,2
108476-3,Igalula,-2.904387,32.709739,Igalula,Mwanza Region,Sengerema District,Sengerema DC,Igalula,Lubungo,Dispensary,,Public,07-01-77,687600367,1
114874-1,Igalula,-6.45678,38.2145,,Geita Region,Nyang'hwale District,Nyang'hwale DC,Mwingiro,Nghwasabuka,Dispensary,Foundation,Public,01-01-70,,
101526-2,Igamba,-8.991439,32.922639,Igamba Dispensary,Songwe Region,Mbozi District,Mbozi DC,Igamba,Igamba,Dispensary,,Public,01-01-70,,1
101528-8,Igandu,-6.360067,36.137459,Igandu,Dodoma Region,Chamwino District,Chamwino DC,Igandu,Igandu,Dispensary,,Public,01-01-70,,1
109900-1,Iganduka,-9.035518,32.861388,Iganduka,Songwe Region,Mbozi District,Mbozi DC,Msia,Iganduka,Dispensary,Foundation,Public,,,
101529-6,Igangidung'u,-7.86967,35.4064,Igang'idung'u Dispensary,Iringa Region,Iringa District,Iringa DC,Kihanga,Igangidun'gu,Dispensary,,Public,01-01-70,262702828,1
101530-4,Iganzo,-8.8935,33.46228,Iganzo zahanati,Mbeya Region,Mbeya District,Mbeya CC,Iganzo,Nkuyu,Dispensary,,Public,01-01-70,2.55253E+11,8
109341-8,Igate,-2.64431,32.14796,Igate,Geita Region,Geita District,Geita DC,Nzera,Igate,Dispensary,Foundation,Public,,282520026,
109646-0,Igauri,-4.69694,34.7993,Igauri,Singida Region,Singida District,Singida DC,Ntonge,Igauri,Dispensary,,Public,,,1
101532-0,Igava,-8.577894000000001,34.478264,Igava Dispensary,Mbeya Region,Mbarali District,Mbarali DC,Igava,Igava,Dispensary,,Public,,,
101533-8,Igawa,-8.76661,34.3823,Igawa Dispensary,Mbeya Region,Mbarali District,Mbarali DC,Lugelele,Lugelele,Dispensary,,Public,07-01-89,755426580,2
101534-6,Igawa,-8.8231,36.1311,Igawa,Morogoro Region,Ulanga District,Malinyi DC,Igawa,Igawa,Dispensary,,Public,,,
101535-3,Igawilo,-8.923389999999999,33.56938,Igawilo Hospital,Mbeya Region,Mbeya District,Mbeya CC,Iganjo,Ilowe,District Hospital,,Public,07-01-63,787510252,49
101536-1,Igawisenga,-9.712859999999999,35.30899,Igawisenga,Ruvuma Region,Songea District,Madaba DC,Wino,Igawisenga,Dispensary,,Public,,2.55763E+11,2
101537-9,Igayaza,-1.14421,31.395,Igayaza Dispensary,Kagera Region,Missenyi District,Missenyi DC,Nsunga,Igayaza,Dispensary,,Private,01-01-70,,21
101538-7,Igegu,-2.422808,33.9613,Igegu,Simiyu Region,Bariadi District,Bariadi DC,Sapiwi,Igegu,Dispensary,,Public,01-01-70,,2
114860-0,Igeka,-6.45678,38.2145,,Geita Region,Nyang'hwale District,Nyang'hwale DC,Bukwimba,Bukwimba,Dispensary,Foundation,Public,01-01-70,,
101539-5,Igekemaja,-2.59888,33.05013,Igekemaja,Mwanza Region,Magu District,Magu DC,Kisesa,Igekemaja,Dispensary,,Public,01-01-70,282530062,4
101540-3,Igeleke,-8.311389999999999,35.7479,Igeleke,Iringa Region,Mufindi District,Mufindi DC,Kibengu,Igeleke,Dispensary,,Public,,,1
114205-8,Igenge,-2.955282,32.849799,,Mwanza Region,Misungwi District,Misungwi DC,Mbarika,Igenge,Dispensary,Foundation,Public,,,
101541-1,Igengu,-4.09541,34.58298,,Singida Region,Mkalama District,Mkalama DC,Ibaga,Igengu,Dispensary,Foundation,Public,,,
101542-9,Ighombwe,-4.9592,34.34603,Ighombwe,Singida Region,Ikungi District,Ikungi DC,Ighombwe,Ighombwe,Dispensary,,Public,07-01-85,,2
101543-7,Igigwa,-5.38293,32.79191,Igigwa,Tabora Region,Sikonge District,Sikonge DC,Igigwa,Igigwa,Dispensary,,Public,03-05-75,,2
101544-5,Igima,-9.194870999999999,34.742726,IGIMA DISPENSARY,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Igima,Igima,Dispensary,,Public,10-07-99,,
101545-2,Iglansoni,-5.338531,34.485841,IGLANSONI,Singida Region,Ikungi District,Ikungi DC,Iglansoni,Iglansoni,Dispensary,,Public,05-08-20,,2
114232-2,Iglasoni,,,,Singida Region,Manyoni District,Manyoni DC,Manyoni,,Level IA2 (Dispensary Laboratory),,Private,,,
109738-5,Igobe,,,,Simiyu Region,Meatu District,Meatu DC,Mwandoya,Igobe,Dispensary,Foundation,Public,,,
112024-5,Igoda,,,Igoda,Iringa Region,Mufindi District,Mufindi DC,Luhunga,Igoda,Dispensary,,Public,09-02-19,,2
101547-8,Igodivaha,-9.202116999999999,34.564871,Igodivaha Dispensary,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Imalinyi,Igodivaha,Dispensary,,Public,07-01-90,,4
101548-6,Igogo,-4.292982,33.769723,Igogo Dispensary,Tabora Region,Igunga District,Igunga DC,Nanga,Igogo,Dispensary,,Public,01-01-70,,2
101549-4,Igogo,-2.54044,32.91476,Igogo,Mwanza Region,Nyamagana District,Nyamagana MC,Igogo,Igogo Kusini 'B',Dispensary,,Public,01-01-70,765551139,5
101551-0,Igogwe,-2.46514,32.99636,Igogwe,Mwanza Region,Ilemela District,Ilemela MC,Bugogwa,Ilalila,Dispensary,,Public,01-01-70,,1
101552-8,Igogwe Mission,-9.152246999999999,33.522732,Igogwe,Mbeya Region,Rungwe District,Rungwe DC,Kinyala,Lukata,Hospital at District Level,,Private,01-01-70,754645222,140
111765-4,Igoje,,,Namasele,Songwe Region,Ileje District,Ileje DC,Malangali,Ilondo,Dispensary,Foundation,Public,,,
101553-6,Igoji I,-6.605,36.0979,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Mima,Igoji,Dispensary,,Public,01-01-70,,
114141-5,Igoji kusini,,,Igoji 2,Dodoma Region,Mpwapwa District,Mpwapwa DC,Iwondo,Iwondo,Dispensary,,Public,09-09-20,,1
101554-4,Igokelo,-2.82012,33.04992,Igokelo,Mwanza Region,Misungwi District,Misungwi DC,Igokelo,Mwajombo,Dispensary,,Public,07-01-23,,7
101555-1,Igoko,-4.82266,33.1107,Igoko RC,Tabora Region,Uyui District,Uyui DC,Isikizya,Igoko,Dispensary,,Private,,,8
101556-9,Igola,-9.589503000000001,34.807778,Igola dispensary,Njombe Region,Njombe District,Njombe TC,Luponde,Igola,Dispensary,,Public,03-01-10,710532098,1
101558-5,Igolwa,-8.909879999999999,33.47528,Igolwa Climic,Mbeya Region,Mbeya District,Mbeya CC,Ruanda,Kati,Maternity and Nursing Home,,Private,,754723711,2
101557-7,Igolwa,-9.521307999999999,34.285215,Igolwa Dispensary,Njombe Region,Makete District,Makete DC,Ipepo,Igolwa,Dispensary,,Private,12-03-90,,2
101561-9,Igoma,-9.482906,34.863756,Igoma dispensary,Njombe Region,Njombe District,Njombe TC,Iwungilo,Igoma,Dispensary,,Public,01-01-70,,14
101560-1,Igoma,-8.997398,33.66892,Igoma,Mbeya Region,Mbeya District,Mbeya DC,Igoma,Igoma,Dispensary,,Public,07-12-99,,1
101562-7,Igoma,-2.543911,32.983114,Igoma,Mwanza Region,Nyamagana District,Nyamagana MC,Igoma,Igoma Kati,Health Center,,Public,05-05-82,784723931,11
101559-3,Igomaa,-8.22486,34.9454,igomaa,Iringa Region,Mufindi District,Mufindi DC,Sadani,Igomaa,Dispensary,,Public,07-01-77,,6
101563-5,Igombavanu,-8.240919999999999,35.1361,Igombavanu,Iringa Region,Mufindi District,Mufindi DC,Igombavu,Igombavanu,Dispensary,,Public,03-03-08,,5
101564-3,Igombe,-2.7932,33.63705,Igombe,Mwanza Region,Magu District,Magu DC,Nkungulu,Igombe,Dispensary,,Public,01-01-70,282530062,4
101565-0,Igombe 56,-4.54404,32.2416,IGOMBE 56,Tabora Region,Kaliua District,Kaliua DC,Igombe Mkulu,Taba,Dispensary,,Public,01-01-70,2.55783E+11,2
101566-8,Igombe 60,-4.56353,32.2657,"IGOMBE 60, Igombemkulu Rd 60",Tabora Region,Kaliua District,Kaliua DC,Igombe Mkulu,Taba,Dispensary,,Public,,,2
109730-2,Igombola,-9.278828000000001,35.28077,Igombola Dispensary,Njombe Region,Njombe District,Njombe DC,Lupembe,Igombola,Dispensary,Foundation,Public,,,
101567-6,Igombola,-9.291245999999999,35.276044,Igombola Dispensary,Njombe Region,Njombe District,Njombe DC,Lupembe,Igombola,Dispensary,,Private,01-01-70,,2
101568-4,Igominyi,-9.452406,34.882627,Igominyi dispensary,Njombe Region,Njombe District,Njombe TC,Yakobi,,Dispensary,,Public,01-01-70,,3
112025-2,Igomtwa,,,Igomtwa,Iringa Region,Mufindi District,Mufindi DC,Kibengu,Igomtwa,Dispensary,,Public,,,
101569-2,Igongolo,-8.964886999999999,34.908995,Igongolo dispensary,Njombe Region,Njombe District,Njombe DC,Igongolo,Igongolo,Dispensary,,Public,04-07-71,,4
101570-0,Igongwa,-2.94176,32.94291,Igongwa,Mwanza Region,Misungwi District,Misungwi DC,Sumbugu,Igongwa,Dispensary,,Public,07-01-68,,3
114537-4,Igongwa,-3.22312,33.87172,Igongwa dispensary,Simiyu Region,Maswa District,Maswa DC,Ng'wigwa,,Dispensary,,Public,07-01-18,,2
101571-8,Igosi,-9.300511999999999,34.516138,IGOSI,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Igosi,Igosi,Dispensary,,Public,04-05-82,,
109831-8,Igosi,-9.601981,33.86587,Igosi,Mbeya Region,Kyela District,Kyela DC,Kyela,Kyela kati,Level III Single purpose Health Laboratory,,Private,06-01-10,,
101572-6,Igota,-8.409990000000001,36.67768,Igota RC.,Morogoro Region,Ulanga District,Ulanga DC,Lupiro,Igota,Dispensary,,Private,,,2
115364-2,Igowe,-9.070252999999999,33.414021,Madugu,Mbeya Region,Mbeya District,Mbeya DC,Iyunga Mapinduzi,Madugu,Dispensary,Foundation,Public,01-01-70,,
101574-2,Igoweko,-4.747721,33.6055,Igoweko Dispensary,Tabora Region,Igunga District,Igunga DC,Igoweko,Igoweko,Dispensary,,Public,01-01-70,,4
101576-7,Igowole,-8.58902,35.1547,igowole,Iringa Region,Mufindi District,Mufindi DC,Igowole,Igowole,Dispensary,,Public,07-01-43,,2
101577-5,Iguguno,-4.56667,34.6333,Iguguno,Singida Region,Mkalama District,Mkalama DC,Iguguno,,Dispensary,,Public,07-12-49,782847879,
101578-3,Iguguno R.C,-4.56667,34.6333,Iguguno RC,Singida Region,Mkalama District,Mkalama DC,Iguguno,Iguguno,Dispensary,,Private,,784195490,16
101579-1,Igula,-7.42762,35.87829,Igula dispensary,Iringa Region,Iringa District,Iringa DC,Kihorogota,Igula,Dispensary,,Public,07-01-74,262702828,5
101580-9,Iguluba,-7.39652,35.914809,Iguluba,Iringa Region,Iringa District,Iringa DC,Malenga Makali,Iguluba,Dispensary,,Public,01-01-70,262702828,4
101581-7,Igulumuki,-2.660354,32.551719,Zahanati,Mwanza Region,Sengerema District,Sengerema DC,Igulumuki,Igulumuki,Dispensary,,Public,07-01-11,769224381,2
101582-5,Iguluwi,,,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Mbuga,Iguluwi,Dispensary,,Public,,,
101584-1,Igumbilo,-9.617509999999999,34.35379,Igumbilo Dispensary,Njombe Region,Makete District,Makete DC,Lupila,Igumbilo,Dispensary,,Public,,,1
101583-3,Igumbilo,-7.785855,35.741423,Igumbilo,Iringa Region,Iringa District,Iringa MC,Igumbilo,Igumbilo,Dispensary,,Public,01-01-70,,2
101585-8,Igumo,-4.576971,33.462839,Igumo Dispensary,Tabora Region,Igunga District,Igunga DC,Chabutwa,Igumo,Dispensary,,Public,07-01-73,,2
109934-0,Igunda,-9.021314,33.030927,Igunda,Songwe Region,Mbozi District,Mbozi DC,Myovizi,Igunda,Dispensary,,Public,04-01-19,,1
101586-6,Igunda,-3.977238,32.402855,Igunda Dispensary,Shinyanga Region,Kahama District,Ushetu DC,Igunda,Igunda,Dispensary,,Public,07-01-78,,1
101587-4,Igundu,-2.07092,33.3592,Igundu,Mara Region,Bunda District,Bunda DC,Igundu,Igundu,Dispensary,,Public,03-08-04,,
101588-2,Igundu,-8.505402,33.539639,Igundu,Mbeya Region,Chunya District,Chunya DC,Sangambi,Igundu,Dispensary,,Public,06-11-18,85357134,
101589-0,Igunga,-4.287894,33.871895,Igunga,Tabora Region,Igunga District,Igunga DC,Igunga,Igunga,District Hospital,,Public,07-01-75,55262650037,130
101591-6,Igunga,,,Igunga H/Centre,Tabora Region,Igunga District,Igunga DC,Igunga,,Health Center,Foundation,Public,,,
112114-4,Igunga,-5.04619,36.02897,IGUNGA DISPENSARY,Dodoma Region,Chemba District,Chemba DC,Goima,Igunga,Dispensary,,Public,03-07-17,,2
101590-8,Igunga CHF,-4.283803,33.885436,CHF,Tabora Region,Igunga District,Igunga DC,Igunga,Igunga,Dispensary,,Public,10-08-10,,2
101592-4,Igunguli,-4.81306,32.076,,Tabora Region,Urambo District,Urambo DC,Uyogo,Igunguli,Dispensary,,Public,,,
114933-5,Igunguli,,,,Dodoma Region,Chamwino District,Chamwino DC,Loje,Igunguli,Dispensary,Foundation,Public,07-01-18,,
101593-2,Igunya,-2.89007,33.55495,Igunya,Simiyu Region,Maswa District,Maswa DC,Shishiyu,Igunya,Dispensary,,Public,07-01-65,,
101594-0,Igurubi,-3.99529,33.7074,Igurubi,Tabora Region,Igunga District,Igunga DC,Igurubi,Igurubi,Health Center,,Public,07-03-72,,24
101595-7,Igurusi,-8.824479999999999,33.8518,Igurusi Health Centre,Mbeya Region,Mbarali District,Mbarali DC,Igurusi,Igurusi,Health Center,,Public,01-01-70,756495353,5
101596-5,Igusule,-3.94915,32.8572,Igusule,Tabora Region,Nzega District,Nzega DC,Igusule,Sojo,Dispensary,,Public,,262692308,
101597-3,Igwachanya,-9.062118999999999,34.645465,Igwachanya,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Igwachanya,Igwachanya,Dispensary,,Private,01-01-70,,15
101598-1,Igwamadete,-6.40926,35.1142,Igwamadete,Singida Region,Manyoni District,Manyoni DC,Isseke,Igwamadete,Dispensary,,Public,06-10-85,,1
101599-9,Igwamanoni,-3.81917,32.2798,Igwamanoni Dispensary,Shinyanga Region,Kahama District,Ushetu DC,Igwamanoni,Igwamanoni,Dispensary,,Public,01-01-70,,14
115212-3,Igwanzozu,-2.562342,32.455563,,Mwanza Region,Sengerema District,Buchosa DC,Nyakasungwa,Igwanzozu,Dispensary,Foundation,Public,01-01-70,,
101600-5,Igwisi,-4.918523,31.900047,Igwisi,Tabora Region,Kaliua District,Kaliua DC,Igwisi,Igwisi,Dispensary,,Public,01-01-70,2.55624E+11,2
101602-1,Ihahi,-8.790692999999999,34.083233,Ihahi Dispensary,Mbeya Region,Mbarali District,Mbarali DC,Ihahi,Ihahi,Dispensary,,Public,,,1
101601-3,Ihahi Mission,-8.78529,34.08233,Brand Kwa masister,Mbeya Region,Mbarali District,Mbarali DC,Ihahi,Ihahi,Dispensary,,Private,07-01-61,757501082,1
112017-9,Ihalimba,,,Ihalimba,Iringa Region,Mufindi District,Mufindi DC,Ihalimba,Ihalimba,Dispensary,,Public,05-07-17,,
101603-9,Ihalo,-3.735911,33.022287,IHALO,Shinyanga Region,Shinyanga District,Shinyanga DC,Ilola,Ihalo,Dispensary,,Public,02-06-15,028-2762251,3
101604-7,Ihalula,-9.462927000000001,34.692027,Ihalula dispensary,Njombe Region,Njombe District,Njombe TC,Utalingolo,Ihalula,Health Center,,Public,01-01-70,754856580,12
101606-2,Ihanda,-9.17193,32.873332,Ihanda Dispensary,Songwe Region,Mbozi District,Mbozi DC,Ihanda,Ihanda,Dispensary,,Public,01-01-70,,1
101605-4,Ihanda,-6.24322,36.71245,Ihanda,Dodoma Region,Kongwa District,Kongwa DC,Mlali,Ihanda,Dispensary,,Public,07-01-01,,
101609-6,Ihanga,-9.431509999999999,35.14898,ihanga health centre,Njombe Region,Njombe District,Njombe TC,Ihanga,Ihanga,Health Center,,Private,09-10-98,757734985,18
101607-0,Ihanga,-2.954371,31.639281,Ihanga,Geita Region,Chato District,Chato DC,Buziku,Ihanga,Dispensary,,Public,03-01-11,,4
101608-8,Ihanga,,,,Njombe Region,Makete District,Makete DC,Ukwama,Ihanga,Dispensary,,Private,01-01-70,,9
114173-8,Ihanga,-8.093070000000001,36.597,,Morogoro Region,Kilombero District,Ifakara TC,Lumemo,Ihanga,Dispensary,Foundation,Public,,,
112233-2,Ihanga,-9.47343,34.17517,Ihanga Dispensary,Njombe Region,Makete District,Makete DC,Ukwama,Ihanga,Dispensary,,Private,01-01-70,,4
114737-0,Ihanga,,,,Njombe Region,Njombe District,Njombe TC,Ihanga,Ihanga,Dispensary,Foundation,Public,07-01-20,,
101610-4,Ihanja,-9.091101999999999,34.659443,Ihanja Dispensary,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Mdandu,Ihanja,Dispensary,,Public,07-01-04,,
101611-2,Ihanja,-5.04446,34.67889,Ihanja,Singida Region,Ikungi District,Ikungi DC,Ihanja,Ihanja,Health Center,,Public,01-01-70,,25
101612-0,Ihanzuntwa,-8.173730000000001,34.99905,Ihanzutwa,Iringa Region,Mufindi District,Mufindi DC,Sadani,Ihanzutwa,Dispensary,,Public,01-01-70,,1
110863-8,Ihapa,-3.55151,33.41688,Ihapa,Shinyanga Region,Shinyanga District,Shinyanga MC,Old Shinyanga,Ihapa,Dispensary,Foundation,Public,,,
111090-7,Ihapula,-3.88784,32.248307,Ihapula,Shinyanga Region,Kahama District,Ushetu DC,Idahina,Ihapula,Dispensary,,Public,10-10-15,,2
111163-2,Ihawaga,-8.80649,34.9765,Ihawaga,Iringa Region,Mufindi District,Mufindi DC,Itandula,Ihawaga,Dispensary,,Public,03-01-74,,
101614-6,Ihayabuyaga,-2.54702,33.11741,Ihayabuyaga,Mwanza Region,Magu District,Magu DC,Bukandwe,Ihayabuyaga,Dispensary,,Public,01-01-70,282530062,5
101615-3,Ihega,-3.21015,32.32518,Ihega,Geita Region,Geita District,Geita DC,Bukoli,Ihega,Dispensary,,Private,09-06-97,2.25283E+11,15
113149-9,Ihela,,,Ihela,Njombe Region,Makete District,Makete DC,Tandala,,Dispensary,,Public,11-04-18,,1
111870-2,Ihelele,-3.033532,32.778146,Ihelele,Mwanza Region,Misungwi District,Misungwi DC,Ilujamate,Nyangh'omango,Dispensary,,Public,01-01-70,-732980959,3
101616-1,Ihembe,-1.73013,31.1329,Cheshaija,Kagera Region,Karagwe District,Karagwe DC,Ihembe,Ihembe i,Dispensary,,Public,01-01-70,,4
112067-4,Ihembe II,-1.7123,31.1614,Ihembe II,Kagera Region,Karagwe District,Karagwe DC,Ihanda,,Dispensary,,Public,01-01-70,,2
101617-9,Ihemi,-8.01552,35.49462,Ihemi,Iringa Region,Iringa District,Iringa DC,Mgama,Ihemi,Dispensary,,Public,09-03-99,262702828,2
114106-8,Ihenga,,,,Morogoro Region,Kilombero District,Mlimba DC,Mofu,Mofu,Dispensary,Foundation,Public,,,
109984-5,Ihimbo,-8.460179999999999,35.8653,Ihimbo,Iringa Region,Mufindi District,Mufindi DC,Mapanda,Ihimbo,Dispensary,,Public,01-01-70,,3
101618-7,Ihimbo,-7.91394,35.81413,,Iringa Region,Kilolo District,Kilolo DC,Ihimbo,Ihimbo,Dispensary,,Private,09-06-97,,15
101619-5,Ihomasa,-8.10825,35.16208,Ihomasa Dispensary,Iringa Region,Iringa District,Iringa DC,Wasa,Ihomasa,Dispensary,,Public,03-11-07,262702828,3
111049-3,Ihombwe,-7.28537,36.92231,Zahanati ya Ihombwe,Morogoro Region,Kilosa District,Kilosa DC,Mikumi,Ihombwe,Dispensary,,Public,05-01-12,686092906,2
101620-3,Ihongole,-8.27829,35.27839,Ihongole,Iringa Region,Mafinga District,Mafinga TC,Boma,Ihongole,Health Center,,Public,08-07-09,763936778,38
110741-6,Ihowa,-9.036842,33.105308,Ihowa,Songwe Region,Mbozi District,Mbozi DC,Ruanda,Ihowa,Dispensary,,Public,01-01-70,,1
101621-1,Ihowanja,,,Ihowanja,Morogoro Region,Ulanga District,Malinyi DC,Kilosa kwa Mpepo,Ihowanja,Dispensary,,Public,,,
101622-9,Ihowanza,-8.57039,34.7686,Ihowanza,Iringa Region,Mufindi District,Mufindi DC,Ihowanza,Ihowanza,Dispensary,,Public,,,3
101623-7,Ihugi,-3.67799,33.01915,ihungi,Shinyanga Region,Shinyanga District,Shinyanga DC,Lyamidati,Ihugi,Dispensary,,Public,01-01-70,787918898,3
114658-8,Ihula,-9.60703,33.86926,,Mbeya Region,Kyela District,Kyela DC,Kyela,Ipyana A,Dispensary,,Private,01-01-70,744974299,5
101624-5,Ihumwa,-6.16667,35.8833,Ihumwa Government,Dodoma Region,Dodoma District,Dodoma MC,Mtumba,Ihumwa,Dispensary,,Public,,,1
101625-2,Ihumwa Jwtz,-6.148073,35.878834,Ihumwa JWTZ,Dodoma Region,Dodoma District,Dodoma MC,Mtumba,Ihumwa,Dispensary,,Public,,,8
101627-8,Ihungo Sec. school,-1.30346,31.813237,Ihungo,Kagera Region,Bukoba District,Bukoba MC,Nshambya,Bunkango,Dispensary,,Public,,,1
101628-6,Ihusi,-2.586,34.25456,IHUSI,Simiyu Region,Bariadi District,Bariadi DC,Mwaumatondo,Ihusi,Dispensary,,Public,01-01-70,,3
101629-4,IJA,-4.81373,38.29588,IJA,Tanga Region,Lushoto District,Lushoto DC,Lushoto,Dochi,Dispensary,,Public,01-01-70,272660133,4
101630-2,Ijaka,-6.14674,36.34456,Ijaka,Dodoma Region,Kongwa District,Kongwa DC,Sagara,Ijaka,Dispensary,,Public,02-01-20,,
101631-0,Ijanija,,,,Tabora Region,Nzega District,Nzega TC,Ijanija,Ijanija,Dispensary,Foundation,Public,,,
101632-8,Ijava,-6.02209,37.15262,Ijava,Morogoro Region,Gairo District,Gairo DC,Iyogwe,Ijava,Dispensary,,Private,04-02-13,,5
101633-6,Ijiha,-2.43772,33.52412,Ijiha,Simiyu Region,Busega District,Busega DC,Kiloleli,Ijitu,Dispensary,,Public,11-01-04,,1
101634-4,Ijinga,-2.51014,33.34955,Ijinga,Mwanza Region,Magu District,Magu DC,Kahangara,Ijinga,Dispensary,,Public,07-01-66,028-2530062,
114926-9,Ijinga,,,,Mwanza Region,Sengerema District,Sengerema DC,Igulumuki,Ijinga,Dispensary,Foundation,Public,01-01-70,,
101636-9,Ijuganyondo,-1.36653,31.793736,Ijuganyondo,Kagera Region,Bukoba District,Bukoba MC,Ijuganyondo,Ijuganyondo A,Dispensary,,Public,,,1
111667-2,Ijuka,-6.92296,39.26413,,Dar es Salaam Region,Temeke District,Temeke MC,Charambe,Rangi tatu,Dispensary,,Private,01-01-17,,4
101637-7,Ikama,-9.261810000000001,33.82516,Ikama,Mbeya Region,Rungwe District,Busokelo DC,Lwangwa,Ikamambande,Dispensary,,Public,,,
101638-5,Ikama,-9.526160000000001,33.88389,Fubu,Mbeya Region,Kyela District,Kyela DC,Ikama,Fubu,Dispensary,,Public,01-01-70,,
101639-3,Ikama Katumba,-9.218261,33.656733,,Mbeya Region,Rungwe District,Rungwe DC,Ikama,Ikama,Dispensary,,Public,,,
101640-1,Ikana,-8.987247,32.413583,Ikana,Songwe Region,Momba District,Momba DC,Ikana,Ikana,Dispensary,,Public,02-01-14,,
101642-7,Ikang'asi,-9.348998999999999,35.348994,Ikang`asi dispensary,Njombe Region,Njombe District,Njombe DC,Mfriga,Ikang'asi,Dispensary,,Public,01-01-70,,2
